Note: The following shows the ratings of three different participants in the same questionnaire.

Questionnaire ID	Colors	Shapes	Materials	Textures	Categories	Appearances	Actions	Biological States	Emotional States	Overall Emotions	Quantities	Interaction Relationships	Spatial Relationships	Positions in the figure	Layouts	Occlusion Relationships	Density Relationships	Environments	Relative Proportions	Styles	Lighting	Photographic Compositions
1480	5	4	4	4	4	4	4	4	3	4	4	4	4	4	3	3	4	4	3	3	2	3
1480	5	5	5	5	5	5	5	5	3	3	4	4	3	4	4	4	3	5	4	4	4	4
1480	5	3	3	4	5	5	2	5	3	3	3	3	3	3	3	3	3	3	3	2	3	4
1481	4	4	4	4	4	5	4	4	3	4	5	4	3	3	3	3	3	4	4	5	4	5
1481	5	4	3	4	5	4	3	4	3	3	3	3	3	3	3	3	3	3	4	4	3	4
1481	4	4	4	4	4	4	3	3	4	3	4	3	3	4	3	3	3	3	4	4	3	3
1482	3	3	4	4	4	1	1	3	4	3	3	1	3	3	4	4	3	3	4	2	3	1
1482	4	4	5	5	4	4	5	5	5	4	5	5	4	3	4	4	4	3	4	4	3	3
1482	4	4	5	3	4	3	4	3	3	3	5	4	4	3	3	4	3	4	3	3	3	3
1483	4	4	4	4	4	4	3	3	3	3	4	3	3	3	3	3	3	3	3	4	3	3
1483	4	4	4	4	5	3	3	4	3	4	3	3	3	3	3	4	2	4	2	3	3	2
1483	3	3	4	3	5	4	5	5	4	4	3	5	3	4	5	4	4	4	5	5	3	4
1484	4	3	3	2	5	3	3	4	3	3	4	4	3	4	5	4	4	4	4	4	4	5
1484	5	4	4	3	4	4	2	4	3	3	3	2	3	3	3	3	3	4	4	4	4	4
1484	4	4	4	4	4	4	2	4	3	4	4	4	4	4	2	4	4	4	4	5	4	4
1485	5	4	4	4	4	5	2	4	4	4	4	4	4	3	4	4	4	2	4	4	2	1
1485	5	4	4	4	4	4	4	5	5	4	5	4	5	3	4	4	3	3	4	5	4	4
1485	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
1486	3	3	4	4	4	4	4	4	4	4	3	3	3	3	3	4	3	4	4	4	2	3
1486	5	2	5	5	5	3	3	4	5	5	5	5	2	5	5	2	5	5	5	5	5	5
